-2.7,-nan
-2.68127,-nan
-2.66254,-nan
-2.64381,-nan
-2.62508,-nan
-2.60635,-nan
-2.58763,-nan
-2.5689,-nan
-2.55017,-nan
-2.53144,-nan
-2.51271,-nan
-2.49398,-nan
-2.47525,-nan
-2.45652,-nan
-2.43779,-nan
-2.41906,-nan
-2.40033,-nan
-2.38161,-nan
-2.36288,-nan
-2.34415,-nan
-2.32542,-nan
-2.30669,-nan
-2.28796,-nan
-2.26923,-nan
-2.2505,-nan
-2.23177,-nan
-2.21304,-nan
-2.19431,-nan
-2.17559,-nan
-2.15686,-nan
-2.13813,-nan
-2.1194,-nan
-2.10067,-nan
-2.08194,-nan
-2.06321,-nan
-2.04448,-nan
-2.02575,-nan
-2.00702,-nan
-1.98829,-nan
-1.96957,-nan
-1.95084,-nan
-1.93211,-nan
-1.91338,-nan
-1.89465,-nan
-1.87592,-nan
-1.85719,-nan
-1.83846,-nan
-1.81973,-nan
-1.801,-nan
-1.78227,-nan
-1.76355,-nan
-1.74482,-nan
-1.72609,-nan
-1.70736,-nan
-1.68863,-nan
-1.6699,-nan
-1.65117,-nan
-1.63244,-nan
-1.61371,-nan
-1.59498,-nan
-1.57625,-nan
-1.55753,-nan
-1.5388,-nan
-1.52007,-nan
-1.50134,-nan
-1.48261,-nan
-1.46388,-nan
-1.44515,-nan
-1.42642,-nan
-1.40769,-nan
-1.38896,-nan
-1.37023,-nan
-1.35151,-nan
-1.33278,-nan
-1.31405,-nan
-1.29532,-nan
-1.27659,-nan
-1.25786,-nan
-1.23913,-nan
-1.2204,-nan
-1.20167,-nan
-1.18294,-nan
-1.16421,-nan
-1.14548,-nan
-1.12676,-nan
-1.10803,-nan
-1.0893,-nan
-1.07057,-nan
-1.05184,-nan
-1.03311,-nan
-1.01438,-nan
-0.995652,-nan
-0.976923,-nan
-0.958194,-nan
-0.939465,-nan
-0.920736,-nan
-0.902007,-nan
-0.883278,-nan
-0.864548,-nan
-0.845819,-nan
-0.82709,-nan
-0.808361,-nan
-0.789632,-nan
-0.770903,-nan
